מספר סידורי,קישור-באתר,שם הסרט,שנה,אורך,ז'אנר,שחקנים,תיקייה 
3753,http://www.torec.net/sub.asp?sub_id=925,המתווך,1998,139 דקות,אקשן / פעולה,סמואל ל.ג'קסון קווין ספייסי דיוויד מורס רון ריפקין ג'ון ספנסר,movies/המתווך.txt
3754,http://www.torec.net/sub.asp?sub_id=4373,הפנתר הורוד,2006,96 דקות,קומדיה,סטיב מרטין ז'אן רנו קווין קליין ביונסה ועוד,movies/הפנתר הורוד.txt
3755,http://www.torec.net/sub.asp?sub_id=20854,פוליאנה,1960,134 דקות,דרמה / משפחה / רומנטיקה,היילי מילס קארל מלדן ג'יין ווימן ננסי אולסון ג'יין ווימן ננסי אולסון ג'יין ווימן,movies/פוליאנה.txt
3756,http://www.torec.net/sub.asp?sub_id=19662,"אני אוהב אותך, אחי",2009,105 דקות,קומדיה / רומנטיקה,פול ראד רשידה ג'ונס שרה ברנס גרג לווין ג'יימי פרסלי ג'ון פבראו ג'יין קורטין,"movies/אני אוהב אותך, אחי.txt"
3757,http://www.torec.net/sub.asp?sub_id=20853,להיות או לא להיות,1983,107 דקות,קומדיה / מלחמה / דרמה,מל ברוקס אן בנקרופט טים מתיוסון צ'ארלס דרנינג כריסטופר לויד,movies/להיות או לא להיות.txt
3758,http://www.torec.net/sub.asp?sub_id=20852,חובה אזרחית,2006,98 דקות,מתח,פיטר קראוס חאלד אבול נאג'ה ריצ'ארד סצ'יף קארי מאצ'ט לאן טרייסי,movies/חובה אזרחית.txt
3759,http://www.torec.net/sub.asp?sub_id=20851,פנים מול פנים,1992,108 דקות,מיסתורין / מתח,טום סקריט כריסטופר למברט,movies/פנים מול פנים.txt
3760,http://www.torec.net/sub.asp?sub_id=19435,עידן הקרח 3 עלייתם של הדינוזאורים,2009,94 דקות,אנימציה / קומדיה / פעולה / רומנטיקה,ג'ון לגויזמו קווין לאטיפה דניס לרי ריי רומנו כריס וודג',movies/עידן הקרח 3 עלייתם של הדינוזאורים.txt
3761,http://www.torec.net/sub.asp?sub_id=19396,לירות מיד,2007,112 דקות,דרמה / מתח / פשע,נאסרודין שה גרטה סקאקי אלכס מקסוויני גולשן גרובר אום פורי סטפן גריף לילה ראוס,movies/לירות מיד.txt
3762,http://www.torec.net/sub.asp?sub_id=20848,ביצועי המפקד,2009,93 דקות,דרמה / מתח / פעולה,אריק רוברטס דולף לונדגרן מליסה אן-סמית הריסטו שופוב דייב לגנו זהארי בהרוב קלימנט וון פרנקנסטיין איביילו גראסקוב שלי וארוד,movies/ביצועי המפקד.txt
3763,http://www.torec.net/sub.asp?sub_id=20241,קו הדם,2007,92 דקות,אימה,גרייס ג'ונסטון טרייסי קיי וולף ג'ייסון פאדגט מולי ברג ניקי קורין ניקי קורין מלורי דורהאם,movies/קו הדם.txt
3764,http://www.torec.net/sub.asp?sub_id=19611,הארי פוטר והנסיך חצוי-הדם,2009,153 דקות,דרמה / הרפתקאות / מיסתורין / פעולה / פנטזיה,דניאל רדקליף אמה ווטסון רופרט גרינט מייקל גמבון אלן ריקמן הלנה בונהם קרטר ג'ים ברודבנט,movies/הארי פוטר והנסיך חצוי-הדם.txt
3765,http://www.torec.net/sub.asp?sub_id=19812,ברונו,2009,81 דקות,קומדיה,סאשה ברון כהן ריצ'ארד ביי רון פאול סאשה ברון כהן סאשה ברון כהן,movies/ברונו.txt
3766,http://www.torec.net/sub.asp?sub_id=10351,הציפורים,1963,119 דקות,דרמה / פנטזיה / אימה / מתח,רוד טיילור טיפי הדרן ג'סיקה טנדי סוזן פלשט,movies/הציפורים.txt
3767,http://www.torec.net/sub.asp?sub_id=20248,לצאת לדרך,2009,98 דקות,דרמה / קומדיה / רומנטיקה,מגי ג'ילנהול ג'ון קרסינסקי מגי ג'ילנהול,movies/לצאת לדרך.txt
3768,http://www.torec.net/sub.asp?sub_id=20793,משלוח למחר,2009,84 דקות,פעולה / פשע / קומדיה,דונלד פאיסון מייק אפס ווד האריס עומרי הארדינג א'מיליו ריוו'רה דריוס מקרי קיסקו רייס,movies/משלוח למחר.txt
3769,http://www.torec.net/sub.asp?sub_id=20792,ויקטור ויקטוריה,1982,132 דקות,מוסיקלי / קומדיה / רומנטיקה,ג'ולי אנדרוס ג'יימס גארנר רוברט פרסטון לזלי אן וורן אלכס קרנס ג'ון רייס-דיוויס גראהם סטארק,movies/ויקטור ויקטוריה.txt
3770,http://www.torec.net/sub.asp?sub_id=20791,ג'ק ושיח האפונים,2001,174 דקות,דרמה / הרפתקאות / פנטזיה,מתיו מודין ונסה רדגרייב מיה שרה דאריל האנה ג'ון וויט ריצ'רד אטנבורו,movies/ג'ק ושיח האפונים.txt
3771,http://www.torec.net/sub.asp?sub_id=2163,היט,1995,171 דקות,אקשן / מתח / דרמה / פשע,רוברט דה נירו אל פאצ'ינו אל קילמר,movies/היט.txt
3772,http://www.torec.net/sub.asp?sub_id=19924,חטיפת הרכבת התחתית 123,2009,121 דקות,דרמה / מתח / פשע,דנזל וושינגטון ג'ון טרבולטה ג'יימס גנדולפיני ג'ון טורטורו לואיס גוזמן ג'ייסון באטלר הארנר בריאן אהלי,movies/חטיפת הרכבת התחתית 123.txt
3773,http://www.torec.net/sub.asp?sub_id=20426,הערבה הבוערת,2008,111 דקות,דרמה / רומנטיקה,שרליז ת'רון קים בייסינגר ג'ניפר לורנס חוזה מריה יאזפיק חואקים דה אלמיידה טסה לה דיאגו ג' טורס,movies/הערבה הבוערת.txt
3774,http://www.torec.net/sub.asp?sub_id=20712,הצילו!,1965,90 דקות,מוסיקלי / מיסתורין / פנטזיה / קומדיה,ג'ון לנון פול מקרתני ג'ורג האריסון רינגו סטאר ליאו מקרן אלינור ברון ויקטור ספינטי,movies/הצילו!.txt
3775,http://www.torec.net/sub.asp?sub_id=20710,השומר,2009,90 דקות,פעולה,סטיבן סיגל לוס ריינס קישה סיארה ג'סיקה וויליאמס סרי ד'יונג אלכסנדריה מורו אהרון שיבר,movies/השומר.txt
3776,http://www.torec.net/sub.asp?sub_id=18874,אויב הציבור מספר 1,2008,110 דקות,ביוגרפיה / דרמה / מתח / פעולה / פשע,וינסנט קאסל ססיל דה פראנס ג'רארד דה-פארדייה ג'ילס לולש רוי דופויס אלנה אניה מייקל דושאסוי,movies/אויב הציבור מספר 1.txt
3777,http://www.torec.net/sub.asp?sub_id=18633,האנה מונטנה הסרט,2009,102 דקות,מוסיקלי / משפחה / קומדיה,מילי סיירוס בילי ריי סיירוס אמילי אוסמנט ג'ייסון אירלס מיטשל מוזו מוייזס אריאס לוקאס טיל,movies/האנה מונטנה הסרט.txt
3778,http://www.torec.net/sub.asp?sub_id=20605,טעות בכיוון 3,2009,92 דקות,אימה / מתח,אליזה דושקו,movies/טעות בכיוון 3.txt
3779,http://www.torec.net/sub.asp?sub_id=20697,כיסאות לוהטים,1970,94 דקות,קומדיה,מל ברוקס פרנק לנג'לה,movies/כיסאות לוהטים.txt
3780,http://www.torec.net/sub.asp?sub_id=9154,האיש שתבע את אלוהים,2001,97 דקות,קומדיה,בילי קונולי ג'ודי דייוויס קולין פרילס וונדי יוז ביל בראון ג'ון האוורד אמילי בראונינג בלייר ואן וינסנט בול טים רוברטסון,movies/האיש שתבע את אלוהים.txt
3781,http://www.torec.net/sub.asp?sub_id=20689,חופשת אביב מטורפת,2009,84 דקות,קומדיה,אמי פוהלר פארקר פוסי רייצ'ל דראץ' אמבר טמבלין סאט מיירס סופי מונק ג'ונתן סאדווסקי,movies/חופשת אביב מטורפת.txt
3782,http://www.torec.net/sub.asp?sub_id=20669,התנקשות בנשיא בית הספר,2008,90 דקות,פשע / קומדיה,ברוס וויליס רייס טומפסון מלוני דיאז רייס טומפסון מלוני דיאז רייס טומפסון מלוני דיאז,movies/התנקשות בנשיא בית הספר.txt
3783,http://www.torec.net/sub.asp?sub_id=18678,מה בדיוק קרה?,2008,104 דקות,דרמה / קומדיה,רוברט דה נירו ברוס וויליס סטנלי טוצ'י ג'ון טורטורו קריסטן סטיוארט לילי רבי דניס אלבנס,movies/מה בדיוק קרה?.txt
3784,http://www.torec.net/sub.asp?sub_id=19297,קחי אותי לגיהנום,2009,99 דקות,אימה / מתח,אליסון לוהמן ג'סטין לונג לורנה רייבר דייוויד פיימר דיליפ ראו רג'י לי בוני אהרונס,movies/קחי אותי לגיהנום.txt
3785,http://www.torec.net/sub.asp?sub_id=20215,אנטיכרייסט,2009,109 דקות,אימה / דרמה,אווה גרין ווילאם דפו,movies/אנטיכרייסט.txt
3786,http://www.torec.net/sub.asp?sub_id=20327,תפילות לבובי,2009,95 דקות,ביוגרפיה / דרמה,סיגורני וויבר סיגורני וויבר ריאן קיילי סיגורני וויבר,movies/תפילות לבובי.txt
3787,http://www.torec.net/sub.asp?sub_id=20629,הנסיכה הקטנה,1995,97 דקות,דרמה / משפחה / פנטזיה,אלינור ברון ליסל מטהנס אלינור ברון ליסל מטהנס אלינור ברון Monsieur Dufarge אלינור ברון,movies/הנסיכה הקטנה.txt
3788,http://www.torec.net/sub.asp?sub_id=20628,כלה ודעה קדומה,2004,107 דקות,מוסיקלי / קומדיה / רומנטיקה,איישוואריה ראי מרטין הנדרסון נדירה בבאר אנופם קר נאווין אנדרוז נמרטה שירודקר דניאל גיליאס,movies/כלה ודעה קדומה.txt
3789,http://www.torec.net/sub.asp?sub_id=8464,גוניס,1985,114 דקות,הרפתקאות / מתח / דרמה,שון אוסטין ג'וש ברולין קורי פלדמן ג'ף כהן קו הי קואן,movies/גוניס.txt
3790,http://www.torec.net/sub.asp?sub_id=20296,"אני אוהב אותך, בט קופר",2009,102 דקות,קומדיה,היידן פנטייר אלן רוק סם לוין סינתיה סטיבנסון לורן לונדון שאון רוברטס פול ראסט,"movies/אני אוהב אותך, בט קופר.txt"
3791,http://www.torec.net/sub.asp?sub_id=20611,ההפשרה,2009,90 דקות,מדע בדיוני / אימה / מתח,ואל קילמר אלכסנדרה סטאססון בראד דרייבורו גרג רוג'רס,movies/ההפשרה.txt
3792,http://www.torec.net/sub.asp?sub_id=20456,סקובי דו התעלומה מתחילה,2009,120 דקות,מיסתורין / משפחה / קומדיה,ס ארנסט הארת',movies/סקובי דו התעלומה מתחילה.txt
3793,http://www.torec.net/sub.asp?sub_id=18859,נחוש להרוג (רוסלן),2009,110 דקות,פעולה,סטיבן סיגל לורה מנל הולי הגלינגטון מייק דופוד דן פיין זאק סנטיאגו אלכס פאונוביק,movies/נחוש להרוג (רוסלן).txt
3794,http://www.torec.net/sub.asp?sub_id=20600,איש ושמו סוס,1970,114 דקות,דרמה / הרפתקאות / מערבון,ריצ'ארד האריס,movies/איש ושמו סוס.txt
3795,http://www.torec.net/sub.asp?sub_id=20594,בית האחווה,2008,82 דקות,קומדיה,ג'סטין איספלד ג'ייסון סוטון,movies/בית האחווה.txt
3796,http://www.torec.net/sub.asp?sub_id=19906,כח המחץ עליית הקוברה,2009,118 דקות,הרפתקאות / מדע בדיוני / מתח / פעולה,דניס קוויד צ'אנינג טאטום מרלון ואיינס סיינה מילר ג'וסף גורדון לוי סעיד טגמאוי כריסטופר אקלסטון,movies/כח המחץ עליית הקוברה.txt
3797,http://www.torec.net/sub.asp?sub_id=20473,בנעלי המת,2004,90 דקות,דרמה / מתח / פשע,פדין קונסידין גארי סטרץ' טובי קבל גו' הרטלי סיאמוס אוניל סטיוארט וולפנדן פול שדות,movies/בנעלי המת.txt
3798,http://www.torec.net/sub.asp?sub_id=20548,סטן הלסינג,2009,90 דקות,קומדיה / אימה,,movies/סטן הלסינג.txt
3799,http://www.torec.net/sub.asp?sub_id=17653,סיד השורד,2008,7 דקות,אנימציה / סרט קצר,שיין באומל פול בוטצ'ר שון קאנינגהאם שון מייקל קאנינגהאם קארן דישר קאמני גריפין ג'ון הוקינסון,movies/סיד השורד.txt
3800,http://www.torec.net/sub.asp?sub_id=4588,ונדטה,2006,132 דקות,מדע בדיוני / פעולה / מתח,נטלי פורטמן הוגו וויבינג סטיבן ריה סטיבן פריי ג'ון הארט סינאד קיוזאק רופרט גרייבס,movies/ונדטה.txt
3801,http://www.torec.net/sub.asp?sub_id=20537,רצח מקוון,2008,95 דקות,אימה / דרמה / מיסתורין / מתח,גבריאלה אנוור וויליאם פורסייט טוני טוד פרנק גלירו טרי קון ווילסון ג'רמאיין הרדיאה צ'רלס דארנינג,movies/רצח מקוון.txt
3802,http://www.torec.net/sub.asp?sub_id=20530,חופשה ברומא,1953,118 דקות,דרמה / רומנטיקה,גרגורי פק קארי גראנט אודרי הפבורן אודרי הפבורן גרגורי פק,movies/חופשה ברומא.txt
3803,http://www.torec.net/sub.asp?sub_id=20525,האהבה היוונית שלי,2009,95 דקות,קומדיה,ניה וורדלוס ריצ'ארד דרייפוס אלכסיס ג'ורגוליס אליסטייר מקגוון ארלנד ויליאמס רייצ'ל דראץ' קרוליין גודאל,movies/האהבה היוונית שלי.txt
3804,http://www.torec.net/sub.asp?sub_id=3316,הפצוע האנגלי,1996,162 דקות,דרמה / רומנטיקה / מלחמה,רייף פיינס ג'ולייט בינוש קולין פירת' ויליאם דפו קריסטין סקוט תומאס,movies/הפצוע האנגלי.txt
3805,http://www.torec.net/sub.asp?sub_id=9169,קרוב יותר,2004,104 דקות,דרמה / רומנטיקה,ג'וליה רוברטס ג'וד לאו נטלי פורטמן קלייב אוון מייקל האלי,movies/קרוב יותר.txt
3806,http://www.torec.net/sub.asp?sub_id=20503,אייבנהו,1952,106 דקות,דרמה / פעולה / רומנטיקה,רוברט טיילור אליזבט טיילור ג'ואן פונטיין ג'ורג' סנדרס אמלין וויליאמס רוברט דאגלס פינלי קורי,movies/אייבנהו.txt
3807,http://www.torec.net/sub.asp?sub_id=20367,אבא בצרה,2009,85 דקות,הרפתקאות / משפחה / פעולה / קומדיה,סברינה בראיין,movies/אבא בצרה.txt
3808,http://www.torec.net/sub.asp?sub_id=20469,הקו,2008,95 דקות,דרמה / מתח / פעולה / פשע,ריי ליוטה אנדי גרסייה אסאי מורלס ארמנד אסנטה ולי קרוז דני טרג'ו ברוס דיוויסון,movies/הקו.txt
3809,http://www.torec.net/sub.asp?sub_id=20444,דמיין זאת,2009,107 דקות,קומדיה / פנטזיה / דרמה,אדי מרפי בובי ג'י טומסון ניקול ארי פרקר תומאס היידן צ'ורץ' יארה שהידי ג'יימס פטריק סטיוארט רוני קוקס,movies/דמיין זאת.txt
3810,http://www.torec.net/sub.asp?sub_id=20439,הירח השביעי,2008,87 דקות,אימה,,movies/הירח השביעי.txt
3811,http://www.torec.net/sub.asp?sub_id=20412,כוח-G,2009,89 דקות,הרפתקאות / פנטזיה / פעולה,ניקולאס קייג' פנלופה קרוז זץ' גליפינקיס ביל ניי סאם רוקוול סטיב בושמי ג'ון פבראו,movies/כוח-G.txt
3812,http://www.torec.net/sub.asp?sub_id=20402,רדיו רוק,2009,129 דקות,דרמה / מוסיקלי / קומדיה / רומנטיקה,וויל אדמסדייל ג'מה ארטנטון קת'רין בלייק קנת בראנה טום ברוק ראלף בראון דורה קלוטיק,movies/רדיו רוק.txt
3813,http://www.torec.net/sub.asp?sub_id=20198,השנה הראשונה,2009,97 דקות,הרפתקאות / קומדיה,סטנלי טוצ'י מייקל סירה ג'ק בלאק,movies/השנה הראשונה.txt
3814,http://www.torec.net/sub.asp?sub_id=20408,חשיבותה של רצינות,2002,97 דקות,דרמה / קומדיה / רומנטיקה,רופרט אוורט קולין פירת' אוליבר פארקר רופרט אוורט רופרט אוורט,movies/חשיבותה של רצינות.txt
3815,http://www.torec.net/sub.asp?sub_id=20365,שעועית שכיר חרב,2009,85 דקות,אנימציה / מיסתורין / פעולה / פשע,,movies/שעועית שכיר חרב.txt
3816,http://www.torec.net/sub.asp?sub_id=8027,להתמודד מול הג'יינטס,2006,111 דקות,דרמה / ספורט,אלכס קנדריק ג'יימס בלאקוול ביילי קייב שאנון פילדס טרייסי גוד ג'ים מקברייד טומי מקברייד סטיב וויליאמס,movies/להתמודד מול הג'יינטס.txt
3817,http://www.torec.net/sub.asp?sub_id=5856,המבוך,1986,101 דקות,הרפתקאות / פנטזיה / משפחה / מוזיקלי,דייוויד בואי ג'ניפר קונלי טובי פראוד שלי תומפסון נטלי פינלנד,movies/המבוך.txt
3818,http://www.torec.net/sub.asp?sub_id=2961,מבוכים ודרקונים 2,2005,105 דקות,פנטזיה / הרפתקאות,מארק דיימונד ברוס פיין קלמנסי ברטון-היל רוי מרסדן סטיבן אלדר,movies/מבוכים ודרקונים 2.txt
3819,http://www.torec.net/sub.asp?sub_id=3113,מבוכים ודרקונים,2000,107 דקות,הרפתקאות / פנטזיה / פעולה,ג'רמי איירונס ברוס פיין ג'סטין וולין מרלון וואיאנס תורה בירץ',movies/מבוכים ודרקונים.txt
3820,http://www.torec.net/sub.asp?sub_id=20336,שלגיה ושבעת הגמדים,1937,83 דקות,אנימציה / מוסיקלי / משפחה / פנטזיה / רומנטיקה,רוי אטוול סטיוארט ביוקנן אדריאנה קייסלוטי אדי קולינס פינטו קולביג מריון דרלינגטון בילי גילברט,movies/שלגיה ושבעת הגמדים.txt
3821,http://www.torec.net/sub.asp?sub_id=19587,הארץ האבודה (ארץ האבודים),2009,101 דקות,הרפתקאות / מדע בדיוני / קומדיה,וויל פארל אנה פריל ג'ורמה טקון דני ר מקברייד ריימונד אוצ'ואה פוליאנה מקלנטוש מוסא קרייש,movies/הארץ האבודה (ארץ האבודים).txt
3822,http://www.torec.net/sub.asp?sub_id=20303,מסע בין כוכבים 4 השיבה הביתה,1986,119 דקות,הרפתקאות / מדע בדיוני / קומדיה,וויליאם שאטנר לאונרד נימוי דיפורסט קלי ג'יימס דוהאן ג'ורג' טקי וולטר קוניג נישל ניקולאס,movies/מסע בין כוכבים 4 השיבה הביתה.txt
3823,http://www.torec.net/sub.asp?sub_id=20325,שטניות קטנות ויפות,2008,90 דקות,דרמה / מיסתורין / פשע / קומדיה,הילארי דאף היילי דאף,movies/שטניות קטנות ויפות.txt
3824,http://www.torec.net/sub.asp?sub_id=20318,ארוחה עירומה,1991,115 דקות,דרמה / מיסתורין / פנטזיה / פשע,פיטר וולר גו'די דיוויס איאן הולם ג'וליאן סאנדס רוי שיידר מוניקה מרקיור ניקולאס קמבל,movies/ארוחה עירומה.txt
3825,http://www.torec.net/sub.asp?sub_id=20312,מלאכי המוות,2009,80 דקות,מתח / פעולה / פשע,זואי בל ג'ייק אבל וייל בלום,movies/מלאכי המוות.txt
3826,http://www.torec.net/sub.asp?sub_id=20310,ג'נובה,2008,94 דקות,דרמה,מוניקה הנאטי דנטה קיארי ג'ררדו קרוסיטי הופ דיוויס קולין פירת' אלסנדרו ג'יוג'ולי דימטרי גוריטסס,movies/ג'נובה.txt
3827,http://www.torec.net/sub.asp?sub_id=20308,תעלולים נבזיים,2008,82 דקות,אימה / דרמה / מתח,קווין לורד בריאן קוקס דילן בייקר לסלי ביב רושל אייטס אנה פאקווין מוניקה דליין,movies/תעלולים נבזיים.txt
3828,http://www.torec.net/sub.asp?sub_id=20289,חזרה על הקטע,2006,105 דקות,דרמה / זר (נורבגית),אנדרס דניאלסן ליי אספן קלומן-הוינר ויקטוריה ווינג' הנריק אלווסטד כריסטיאן רבק אוד מגנוס וויליאמסון רבקה קריג'ורד,movies/חזרה על הקטע.txt
3829,http://www.torec.net/sub.asp?sub_id=20302,גנדאר,1988,83 דקות,אנימציה / הרפתקאות / מדע בדיוני / פנטזיה / זר (צרפתית),פייר-מרי אסקורו קתרין צ'בליאר ג'ורג'ס ווילסון אנני דופרי ג'ין-פייר דוקוס כריסטין פריס זאירה בנבאביס,movies/גנדאר.txt
3830,http://www.torec.net/sub.asp?sub_id=9482,מלאכים נופלים,2007,115 דקות,דרמה / הרפתקאות / מלחמה / מערבון מודרני,ליאם ניסן פירס ברוסנן מייקל וינקוט אד לותר ג'ון רובינסון רוברט בייקר ג'ימי סימפסון נייט מוני ג'יימס ג'ורדן קווין ג'יי או'קונור אנג'ליקה יוסטון אנג'י הרמון זנדר ברקלי,movies/מלאכים נופלים.txt
3831,http://www.torec.net/sub.asp?sub_id=19458,רובוטריקים 2 הנקמה,2009,150 דקות,הרפתקאות / מדע בדיוני / פעולה,שאיה לבוף מייגן פוקס ג'ון טורטורו ג'ון ווייט ריין ווילסון ג'וש דומל מתיו מרדסן,movies/רובוטריקים 2 הנקמה.txt
3832,http://www.torec.net/sub.asp?sub_id=20291,ג'וניור,1994,109 דקות,מדע בדיוני / קומדיה / רומנטיקה,ארנולד שוורצנגר,movies/ג'וניור.txt
3833,http://www.torec.net/sub.asp?sub_id=20283,שאלות נפוצות על מסע בזמן,2009,83 דקות,מדע בדיוני / קומדיה,כריס אודוואד מארק וותון דין ליינוקס קלי אנה פאריס,movies/שאלות נפוצות על מסע בזמן.txt
3834,http://www.torec.net/sub.asp?sub_id=20259,בשבי,2003,115 דקות,דרמה / זר (ספרדית),ברברה לומברדו סוזנה קמפוס הוגו ארנה אוסבאלדו סאנטורו נעמי פרנקל לידיה קטלאנו מרסדס פונס,movies/בשבי.txt
3835,http://www.torec.net/sub.asp?sub_id=20251,סופרמן ובאטמן  אויבי הציבור,2009,67 דקות,דרמה,,movies/סופרמן ובאטמן  אויבי הציבור.txt
3836,http://www.torec.net/sub.asp?sub_id=20235,ליצן החצר,1955,101 דקות,הרפתקאות / מוסיקלי / משפחה / קומדיה,דני קאי גלניס ג'ונס באזיל ראטבון אנג'לה לאנסברי ססיל פארקר מילדרד נטוויק רוברט מידלטון,movies/ליצן החצר.txt
3837,http://www.torec.net/sub.asp?sub_id=20232,רגע לזכור,2004,144 דקות,דרמה / רומנטיקה / זר (קוריאנית),ג'ונג וו-סונג סון יה-ג'ין,movies/רגע לזכור.txt
3838,http://www.torec.net/sub.asp?sub_id=20220,טבעו של הטוב,2008,96 דקות,דרמה,ויגו מורטנסן רומולה גאריי ג'ודי וויטאקר,movies/טבעו של הטוב.txt
3839,http://www.torec.net/sub.asp?sub_id=11006,לפנות ערב,2007,117 דקות,דרמה / רומנטיקה,פטריק ווילסון טוני קולט קלייר דיינס גלן קלוז מריל סטריפ ואנסה רדגרייב נטשה ריצ'רדסון יו דאנסי מיימי גאמר איילין אטקינס,movies/לפנות ערב.txt
3840,http://www.torec.net/sub.asp?sub_id=20214,רכבת האימה,2008,94 דקות,מתח / אימה,תורה בירץ' גדעון אמרי דרק מגייאר קבן ריס גלוריה ווטסיס,movies/רכבת האימה.txt
3841,http://www.torec.net/sub.asp?sub_id=20201,עלילות חצות,2008,100 דקות,פנטזיה,קריסטין ט פיטרסן,movies/עלילות חצות.txt
3842,http://www.torec.net/sub.asp?sub_id=20192,ליים - לייף,2008,95 דקות,דרמה / קומדיה,אלק בולדווין רורי קלקין ג'יל הנסי,movies/ליים - לייף.txt
3843,http://www.torec.net/sub.asp?sub_id=20180,תא קטלני 2,2009,94 דקות,אימה / מדע בדיוני / מתח,טסי סנטיאגו כריס ברונו פרנק וואלי ברט ג'והנסון אליזבת' ברדונס לארי פיליון צ'ארלס האלפורד,movies/תא קטלני 2.txt
3844,http://www.torec.net/sub.asp?sub_id=20175,צ'ארלס דרווין ועץ החיים,2009,59 דקות,ביוגרפיה / דוקומנטרי,,movies/צ'ארלס דרווין ועץ החיים.txt
3845,http://www.torec.net/sub.asp?sub_id=20138,מוצב הרפאים,2007,90 דקות,אימה / פעולה,רי סטיבנסון ג'וליאן וודהאם ריצ'רד בראק פאול בלייר בראט פאנסי אנוק פרוסט ג'וליאן ריבט,movies/מוצב הרפאים.txt
3846,http://www.torec.net/sub.asp?sub_id=13618,סוס המים,2007,111 דקות,הרפתקאות / משפחה / פנטזיה,ברוס אלפרס אדי צ'מפבל בן צ'אפלין פיטר קוריגן בריאן קוקס קארל דיקסון אלכסנדר נייתן אתל,movies/סוס המים.txt
3847,http://www.torec.net/sub.asp?sub_id=20068,לגעת בך,2008,93 דקות,קומדיה / רומנטיקה,ג'ניפר אניסטון סטיב זאהן מרגו מרטינדייל פרד וורד ג'יימס הירויוקי ליאו וודי הרלסון קייטי אוגריידי,movies/לגעת בך.txt
3848,http://www.torec.net/sub.asp?sub_id=19892,ללא שם,2009,96 דקות,דרמה / הרפתקאות / מתח / פשע / זר (ספרדית),מרקו אנטוניו אגוויר לאונרדו אלונזו קרלה ססיליה אלוורדו חואן פבלו אריאס בארון רוסלבה בלן בארון פליפה קסטרו רוסלבה קווינטנה קרוז,movies/ללא שם.txt
3849,http://www.torec.net/sub.asp?sub_id=20128,נטושים בעיראק,2002,108 דקות,"דרמה / זר (פרסית, כורדית)",שהאב אברהימי פאה מוחמדי אלה-מוראד ראשטיאן רוג'ן חוסייני סעיד מוחמדי איראן גודבי מרים פויאני,movies/נטושים בעיראק.txt
3850,http://www.torec.net/sub.asp?sub_id=20124,סקס ואהבה לקינוח,2007,102 דקות,דרמה / קומדיה / רומנטיקה,דניאל האריס ג'נסן אקלס דניאל האריס ג'נסן אקלס דניאל האריס ג'נסן אקלס דניאל האריס,movies/סקס ואהבה לקינוח.txt
3851,http://www.torec.net/sub.asp?sub_id=20116,פוסטל,2007,100 דקות,אימה / מתח / פעולה / קומדיה,זאק ווארד דייב פוליי כריס קופולה ג'קי ת'ון גק סימונס ראלף מוולר ורן טרוייר,movies/פוסטל.txt
3852,http://www.torec.net/sub.asp?sub_id=20111,לעולם אל תכנע,2009,87 דקות,דרמה / פעולה,הקטור אצ'בריה פטריק קילפטריק ג'יימס רוסו סילביה קויס אנדרסון סילבה ג'ורג'ס סיינט פייר בג' פן,movies/לעולם אל תכנע.txt
3853,http://www.torec.net/sub.asp?sub_id=20099,בלתי נשכח,2009,100 דקות,מתח,סיימון בייקר פז וגה ג'ורדנה ברוסטר,movies/בלתי נשכח.txt
3854,http://www.torec.net/sub.asp?sub_id=20093,הקרב על טארה (הקרב על הכוכב),2007,85 דקות,אנימציה / הרפתקאות,אוון רשל ווד בריאן קוקס לוק וילסון דיוויד קרוס ג'סטין לונג אמנדה פיט דניס קוויד,movies/הקרב על טארה (הקרב על הכוכב).txt
3855,http://www.torec.net/sub.asp?sub_id=20090,הידרה,2009,90 דקות,מדע בדיוני,דוויין אדוויי פרנק אלברז טקסס באטל אד בלין אנטוניו די צ'ארלטי רוארק קריצ'לאו דייגו ווילאריל גרסייה,movies/הידרה.txt
3856,http://www.torec.net/sub.asp?sub_id=20091,יונייטד המקוללת,2009,97 דקות,דרמה / ספורט,ג'ים ברודבנט מייקל שין,movies/יונייטד המקוללת.txt
3857,http://www.torec.net/sub.asp?sub_id=20094,החברה של גרגורי,1981,91 דקות,קומדיה / רומנטיקה,ג'ון גורדון סינקלייר די הפבורן ג'ייק דארקי קלייר גרוגן רוברט בוצ'אנן בילי גרינליס אלן לאב,movies/החברה של גרגורי.txt
3858,http://www.torec.net/sub.asp?sub_id=20079,האנס כריסטיאן אנדרסן,1952,112 דקות,ביוגרפיה / מוסיקלי / משפחה / רומנטיקה,דני קיי פארליי ג'נרגר זיזי ג'נמייר ג'וש וולש פיליפ טונג אריק ברון רולנד פטיט,movies/האנס כריסטיאן אנדרסן.txt
3859,http://www.torec.net/sub.asp?sub_id=20078,מלחמה ושלום,1956,208 דקות,דרמה / מלחמה / רומנטיקה,אודרי הפבורן גרגורי פק הנרי פונדה הנרי פונדה,movies/מלחמה ושלום.txt
3860,http://www.torec.net/sub.asp?sub_id=20076,פסגת דנטה,1997,104 דקות,דרמה / הרפתקאות / פעולה,פירס ברוסנן,movies/פסגת דנטה.txt
