מילה,מספר מופעים
שהיאכטה,1
הארשת,2
התדרדרו,1
להשתנות-,1
מהפסנתרנית,1
וטלי,2
להחזקת,1
המנוגדות,2
עיראק,2
לג'מיל,1
ואיאן,3
ובודקת,1
מבאפי,1
בקריאה,2
קוסטגה,2
ביוולף,3
היותו,12
היותה,2
בלעה,1
Half,1
מ-12,1
היותם,1
פיגרואה,4
מפלצתית,5
בעקבותיו,19
בעקבותיה,2
דיסון,2
וסטטוס,1
צמודים,2
ולהגיע,11
מתנדב,10
תנצח,2
ולהטיל,1
בוויסקונסין,1
יתקלו,1
באיתור,4
קרומוול,26
ישפרו,2
עוצמתה,1
סקרסגארד,6
ולהגיב,1
שמטפל,1
ולהקסים,1
בהזדמנות,2
מהחוויה,1
עוצמתי,5
אטקין,6
ומשתמש,4
ווי-רוז,1
מקסוול,18
מאניש,4
שחשוב,1
לה-סאל,1
הארולד,18
מהבועה,1
המוסר,6
כללי,8
המונופולים,1
עלולה,8
שילדס,20
הסאדיסטית,1
במסעדת,4
מעובד,2
הסקרן,2
צאילארד,2
להתניע,1
לקפטן,4
הופהאואר,2
ובתמיכתם,1
מעונה,6
אחותו,35
אחותה,35
שיכולה,9
אליסון,95
הסוטה,2
החשיכה,8
יעלם,1
אחותי,2
למימוש,1
הפיך,4
כאשר,890
רדליף,2
שילדה,4
הסאדיסטים,1
לציטטות,1
תקציר:סינמטק,8
המוסד,5
לחסרי,1
לחפור,2
הקרפטיים,1
סטורם,3
בקיא,1
בקים,1
פריאור,2
בקיי,1
באיזורים,1
ליברט,4
הצוהר,1
ומקומו,1
ב-40,1
שמידטקה,2
ויום,3
החלקלקים,1
בסמן,2
בתודעתנו,1
בתאורה,1
בסמו,2
בקיק,2
בקיץ,15
וקרוליין,1
שניסתה,1
האסיאתי,1
אראגון,4
וטייסת,1
ובהיסטוריה,1
חבבו,1
בקיר,5
מחדיר,1
הפריזמה,1
אליאס,10
בכיתת,1
ויפהפיה,2
צודקת,2
רולף,2
שמייק,3
פוסילו,2
ולהתרגל,1
פריזאית,1
פורייה,1
מלחמת,223
חשופה,2
המונים,4
שהלקוח,1
נשף,10
ואורליקה,1
חליצה,2
ולהעמיד,2
נשק,56
לשנים,2
זהרירה,2
המונית,12
נשי,3
שאדיבות,1
קאמרה,1
מלחמה,137
לפרטי,3
לג'סיקה,1
שמיים,7
הקרדיט,1
בוליביה,1
בכיתה,6
והאבולוציה,1
להתנער,2
במפקדת,4
ולהכריז,1
למוסלמים,1
יעורר,2
שהפתרון,2
מורנו,12
הקולנוע,102
האנגלית,6
אסקרייד,4
שמילס,1
טכני,5
הזדוניות,1
צינג-טאי,2
ההוביט,12
שפרנק,3
למיתולוגיה,3
שהאורחים,1
צ'י-יון,1
5241,1
הטיטאנים',1
ההילה,1
תלות,2
s,1
מסהירו,2
וויתר,1
קיצית,1
במוסיקה,7
בריקודים,1
סקרנים,2
מיוושי,2
ובורטה,1
תהפוך,2
מירנדה,56
טרייסי-הפבורן,1
וזהותו,1
הגלובאלית,1
מלכות,10
רוזנברג,2
להישאב,3
מלכוד,4
התעמקות,1
מביאים,14
גרסל,4
איפיגניה,3
החצוצרות,2
קונדס,4
קתוליות,1
מובחרים,2
שהולך,6
והתשוקה,2
ראימונד,4
נמרץ,2
אינגריד,24
סעיר,1
קיז-ביירן,2
בעובדת,1
צ'אק,9
וקול,5
שתשוקתו,1
כשקיצוצים,1
